City,Chinese,Province,Prefecture,Founded
Hong Kong,香港特别行政区,autonomous,none,1997-07-01
Macau,澳门特别行政区,autonomous,none,1999-12-20
Beijing,北京市,municipal,none,1949-10-01
Chongqing,重庆市,municipal,none,1997-03-14
Shanghai,上海市,municipal,none,1949-10-01
Tianjin,天津市,municipal,none,1967-01-02
Anqing,安庆市,Anhui,direct administration,1979-11-04
Bengbu,蚌埠市,Anhui,direct administration,1949-10-01
Bozhou,亳州市,Anhui,direct administration,2000-05-21
Chaohu,巢湖市,Anhui,Hefei,2011-07-14
Chizhou,池州市,Anhui,direct administration,2000-06-25
Chuzhou,滁州市,Anhui,direct administration,1992-12-20
Fuyang,阜阳市,Anhui,direct administration,1996-01-01
Hefei,合肥市,Anhui,direct administration,1949-10-01
Huaibei,淮北市,Anhui,direct administration,1960-04-16
Huainan,淮南市,Anhui,direct administration,1951-01-18
Huangshan,黄山市,Anhui,direct administration,1987-11-27
Jieshou,界首市,Anhui,Fuyang,1989-09-27
Lu'an,六安市,Anhui,direct administration,1999-09-02
Ma'anshan,马鞍山市,Anhui,direct administration,1956-10-12
Mingguang,明光市,Anhui,Chuzhou,1994-05-31
Ningguo,宁国市,Anhui,Xuancheng,1997-03-11
Qianshan,潜山市,Anhui,Anqing,2018-07-02
Suzhou,宿州市,Anhui,direct administration,1998-12-06
Tianchang,天长市,Anhui,Chuzhou,1993-09-18
Tongcheng,桐城市,Anhui,Anqing,1996-08-20
Tongling,铜陵市,Anhui,direct administration,1971-12-11
Wuhu,芜湖市,Anhui,direct administration,1972-12-30
Xuancheng,宣城市,Anhui,direct administration,2000-06-25
Fu'an,福安市,Fujian,Ningde,1989-11-13
Fuding,福鼎市,Fujian,Ningde,1995-10-13
Fuqing,福清市,Fujian,Fuzhou,1990-12-26
Fuzhou,福州市,Fujian,direct administration,1949-10-01
Jian'ou,建瓯市,Fujian,Nanping,1992-10-20
Jinjiang,晋江市,Fujian,Quanzhou,1992-03-06
Longhai,龙海市,Fujian,Zhangzhou,1993-05-12
Longyan,龙岩市,Fujian,direct administration,1996-11-20
Nan'an,南安市,Fujian,Quanzhou,1993-05-12
Nanping,南平市,Fujian,direct administration,1994-09-05
Ningde,宁德市,Fujian,direct administration,1999-11-14
Putian,莆田市,Fujian,direct administration,1983-09-09
Quanzhou,泉州市,Fujian,direct administration,1985-05-14
Sanming,三明市,Fujian,direct administration,1983-04-28
Shaowu,邵武市,Fujian,Nanping,1983-08-17
